date,trips
2020-01-17,798340
2020-01-18,808727
2020-01-19,715584
2020-01-20,592057
2020-01-21,635964
2020-01-22,642397
2020-01-23,670077
2020-01-24,756598
2020-01-25,887656
2020-01-26,706955
2020-01-27,593268
2020-01-28,610733
2020-01-29,645290
2020-01-30,700619
2020-01-31,788638
2020-02-01,836710
2020-02-02,786083
2020-02-03,617914
2020-02-04,621857
2020-02-05,663324
2020-02-06,739984
2020-02-07,860789
2020-02-08,901459
2020-02-09,762107
2020-02-10,681239
2020-02-11,657159
2020-02-12,677386
2020-02-13,746542
2020-02-14,886605
2020-02-15,888717
2020-02-16,742780
2020-02-17,582746
2020-02-18,601339
2020-02-19,643368
2020-02-20,721551
2020-02-21,822284
2020-02-22,874696
2020-02-23,753853
2020-02-24,628550
2020-02-25,693042
2020-02-26,714226
2020-02-27,788595
2020-02-28,873373
2020-02-29,956822
2020-03-01,784260
2020-03-02,648990
2020-03-03,697880
2020-03-04,707879
2020-03-05,731165
2020-03-06,872012
2020-03-07,886071
2020-03-08,731222
2020-03-09,628940
2020-03-10,626474
2020-03-11,628601
2020-03-12,643257
2020-03-13,660914
2020-03-14,569397
2020-03-15,448125
2020-03-16,391518
2020-03-17,312298
2020-03-18,269233
2020-03-19,252773
2020-03-20,261900
2020-03-21,215746
2020-03-22,162165
2020-03-23,162394
2020-03-24,141687
2020-03-25,141089
2020-03-26,141607
2020-03-27,159339
2020-03-28,138456
2020-03-29,115393
2020-03-30,132593
2020-03-31,129550
2020-04-01,132075
2020-04-02,131207
2020-04-03,150429
2020-04-04,125938
2020-04-05,107496
2020-04-06,127098
2020-04-07,125494
2020-04-08,126924
2020-04-09,128534
2020-04-10,146731
2020-04-11,132284
2020-04-12,112806
2020-04-13,138925
2020-04-14,135152
2020-04-15,150181
2020-04-16,153291
2020-04-17,173953
2020-04-18,148001
2020-04-19,132411
2020-04-20,153458
2020-04-21,148778
2020-04-22,153757
2020-04-23,154362
2020-04-24,176132
2020-04-25,159206
2020-04-26,135838
2020-04-27,155548
2020-04-28,159620
2020-04-29,162367
2020-04-30,174913
2020-05-01,193126
2020-05-02,182011
2020-05-03,160785
2020-05-04,172705
2020-05-05,172438
2020-05-06,176914
2020-05-07,176680
2020-05-08,205552
2020-05-09,180875
2020-05-10,185419
2020-05-11,174499
2020-05-12,172178
2020-05-13,178863
2020-05-14,183436
2020-05-15,227427
2020-05-16,215731
2020-05-17,175665
2020-05-18,183924
2020-05-19,186899
2020-05-20,195487
2020-05-21,204684
2020-05-22,236966
2020-05-23,200038
2020-05-24,191009
2020-05-25,194000
2020-05-26,211014
2020-05-27,216588
2020-05-28,214980
2020-05-29,246556
2020-05-30,252381
2020-05-31,221169
2020-06-01,216579
2020-06-02,182027
2020-06-03,182408
2020-06-04,198871
2020-06-05,208756
2020-06-06,200197
2020-06-07,202558
2020-06-08,225689
2020-06-09,239921
2020-06-10,246011
2020-06-11,244303
2020-06-12,280286
2020-06-13,281768
2020-06-14,234596
2020-06-15,229771
2020-06-16,241082
2020-06-17,253167
2020-06-18,260501
2020-06-19,297094
2020-06-20,295209
2020-06-21,253556
2020-06-22,254630
2020-06-23,274099
2020-06-24,278471
2020-06-25,291356
2020-06-26,329141
2020-06-27,322877
2020-06-28,277167
2020-06-29,273578
2020-06-30,279524
2020-07-01,288516
2020-07-02,307366
2020-07-03,313253
2020-07-04,295717
2020-07-05,270241
2020-07-06,266295
2020-07-07,273507
2020-07-08,293613
2020-07-09,317799
2020-07-10,348168
2020-07-11,325364
2020-07-12,314300
2020-07-13,279428
2020-07-14,297234
2020-07-15,312079
2020-07-16,322676
2020-07-17,351773
2020-07-18,377240
2020-07-19,323535
2020-07-20,293832
2020-07-21,304856
2020-07-22,332916
2020-07-23,325448
2020-07-24,366344
2020-07-25,402899
2020-07-26,342161
2020-07-27,311988
2020-07-28,327660
2020-07-29,347008
2020-07-30,358080
2020-07-31,367158
2020-08-01,405109
2020-08-02,329463
2020-08-03,321640
2020-08-04,297554
2020-08-05,344700
2020-08-06,351834
2020-08-07,399578
2020-08-08,396588
2020-08-09,363649
2020-08-10,325800
2020-08-11,338119
2020-08-12,337681
2020-08-13,344195
2020-08-14,399247
2020-08-15,426388
2020-08-16,315843
2020-08-17,312932
2020-08-18,328047
2020-08-19,336819
2020-08-20,357431
2020-08-21,403192
2020-08-22,433834
2020-08-23,353884
2020-08-24,318927
2020-08-25,336833
2020-08-26,342246
2020-08-27,360971
2020-08-28,413304
2020-08-29,384328
2020-08-30,381578
2020-08-31,335138
2020-09-01,345197
2020-09-02,358367
2020-09-03,391432
2020-09-04,426013
2020-09-05,435166
2020-09-06,389571
2020-09-07,329354
2020-09-08,340492
2020-09-09,357914
2020-09-10,399742
2020-09-11,436101
2020-09-12,484497
2020-09-13,383947
2020-09-14,338968
2020-09-15,356227
2020-09-16,368095
2020-09-17,388411
2020-09-18,466820
2020-09-19,517585
2020-09-20,426440
2020-09-21,357976
2020-09-22,367736
2020-09-23,401992
2020-09-24,422012
2020-09-25,491241
2020-09-26,533371
2020-09-27,440144
2020-09-28,352307
2020-09-29,393182
2020-09-30,406369
2020-10-01,426763
2020-10-02,487509
2020-10-03,521684
2020-10-04,414071
2020-10-05,345012
2020-10-06,358079
2020-10-07,377687
2020-10-08,398402
2020-10-09,459009
2020-10-10,499969
2020-10-11,398269
2020-10-12,371610
2020-10-13,357302
2020-10-14,380693
2020-10-15,408848
2020-10-16,506417
2020-10-17,503065
2020-10-18,417530
2020-10-19,345903
2020-10-20,359268
2020-10-21,373268
2020-10-22,399637
2020-10-23,465427
2020-10-24,516532
2020-10-25,417391
2020-10-26,359816
2020-10-27,367534
2020-10-28,403384
2020-10-29,486547
2020-10-30,544001
2020-10-31,597784
2020-11-01,488550
2020-11-02,366799
2020-11-03,371124
2020-11-04,350765
2020-11-05,374904
2020-11-06,448092
2020-11-07,512409
2020-11-08,413125
2020-11-09,330857
2020-11-10,344733
2020-11-11,375271
2020-11-12,404094
2020-11-13,463770
2020-11-14,481128
2020-11-15,370222
2020-11-16,333357
2020-11-17,356325
2020-11-18,383421
2020-11-19,380528
2020-11-20,430778
2020-11-21,442775
2020-11-22,346129
2020-11-23,349073
2020-11-24,358708
2020-11-25,381200
2020-11-26,384396
2020-11-27,349795
2020-11-28,343761
2020-11-29,314770
2020-11-30,346006
2020-12-01,340312
2020-12-02,347580
2020-12-03,359826
2020-12-04,425817
2020-12-05,430136
2020-12-06,371343
2020-12-07,332959
2020-12-08,351994
2020-12-09,368473
2020-12-10,377912
2020-12-11,430345
2020-12-12,429566
2020-12-13,370524
2020-12-14,352214
2020-12-15,375204
2020-12-16,371746
2020-12-17,297486
2020-12-18,484504
2020-12-19,461788
2020-12-20,369120
2020-12-21,362956
2020-12-22,378288
2020-12-23,397260
2020-12-24,436444
2020-12-25,342237
2020-12-26,317952
2020-12-27,286152
2020-12-28,301334
2020-12-29,330581
2020-12-30,358790
2020-12-31,476280
2021-01-01,406887
2021-01-02,332418
2021-01-03,299929
2021-01-04,320488
2021-01-05,336686
2021-01-06,356050
2021-01-07,364815
2021-01-08,414247
2021-01-09,425104
2021-01-10,350533
2021-01-11,342466
2021-01-12,359473
2021-01-13,368195
2021-01-14,377261
2021-01-15,443059
2021-01-16,428066
2021-01-17,371190
2021-01-18,326596
2021-01-19,342388
2021-01-20,377825
2021-01-21,387812
2021-01-22,440116
2021-01-23,462164
2021-01-24,381325
2021-01-25,355411
2021-01-26,374246
