date,trips
2015-11-16,246949
2015-11-17,268189
2015-11-18,278112
2015-11-19,348464
2015-11-20,320913
2015-11-21,321740
2015-11-22,273869
2015-11-23,269662
2015-11-24,279391
2015-11-25,277629
2015-11-26,231883
2015-11-27,209796
2015-11-28,243803
2015-11-29,236854
2015-11-30,256063
2015-12-01,299628
2015-12-02,294678
2015-12-03,305761
2015-12-04,328676
2015-12-05,323120
2015-12-06,279436
2015-12-07,270166
2015-12-08,286765
2015-12-09,294729
2015-12-10,312132
2015-12-11,335521
2015-12-12,341402
2015-12-13,284318
2015-12-14,286854
2015-12-15,289316
2015-12-16,314874
2015-12-17,368560
2015-12-18,367156
2015-12-19,360825
2015-12-20,296274
2015-12-21,264714
2015-12-22,277493
2015-12-23,293865
2015-12-24,242890
2015-12-25,201578
2015-12-26,197011
2015-12-27,213874
2015-12-28,223398
2015-12-29,230763
2015-12-30,242176
2015-12-31,260856
2016-01-01,278875
2016-01-02,234490
2016-01-03,224798
2016-01-04,253259
2016-01-05,270739
2016-01-06,260073
2016-01-07,264650
2016-01-08,289655
2016-01-09,281424
2016-01-10,269801
2016-01-11,262148
2016-01-12,266183
2016-01-13,296484
2016-01-14,299922
2016-01-15,309207
2016-01-16,298886
2016-01-17,288371
2016-01-18,249400
2016-01-19,309534
2016-01-20,291744
2016-01-21,310505
2016-01-22,342436
2016-01-23,82645
2016-01-24,150232
2016-01-25,266061
2016-01-26,287110
2016-01-27,291722
2016-01-28,305361
2016-01-29,344226
2016-01-30,345203
2016-01-31,285659
2016-02-01,266248
2016-02-02,273517
2016-02-03,319272
2016-02-04,310376
2016-02-05,348154
2016-02-06,338614
2016-02-07,303113
2016-02-08,283804
2016-02-09,289321
2016-02-10,312758
2016-02-11,366535
2016-02-12,388833
2016-02-13,415101
2016-02-14,386062
2016-02-15,285124
2016-02-16,310354
2016-02-17,303155
2016-02-18,330476
2016-02-19,356257
2016-02-20,343577
2016-02-21,300748
2016-02-22,279223
2016-02-23,335878
2016-02-24,355672
2016-02-25,333697
2016-02-26,363861
2016-02-27,353036
2016-02-28,297541
2016-02-29,277518
2016-03-01,284396
2016-03-02,314954
2016-03-03,332944
2016-03-04,362749
2016-03-05,348306
2016-03-06,298249
2016-03-07,274934
2016-03-08,283935
2016-03-09,293106
2016-03-10,312594
2016-03-11,339688
2016-03-12,338137
2016-03-13,283914
2016-03-14,319969
2016-03-15,291730
2016-03-16,308299
2016-03-17,322589
2016-03-18,345227
2016-03-19,343349
2016-03-20,305176
2016-03-21,280307
2016-03-22,289190
2016-03-23,302185
2016-03-24,326330
2016-03-25,322558
2016-03-26,325080
2016-03-27,292732
2016-03-28,288470
2016-03-29,287570
2016-03-30,297986
2016-03-31,296742
2016-04-01,362025
2016-04-02,368375
2016-04-03,328952
2016-04-04,341315
2016-04-05,336290
2016-04-06,337068
2016-04-07,355588
2016-04-08,383179
2016-04-09,404938
2016-04-10,324058
2016-04-11,304321
2016-04-12,326014
2016-04-13,324820
2016-04-14,348911
2016-04-15,375815
2016-04-16,375904
2016-04-17,322889
2016-04-18,296306
2016-04-19,305462
2016-04-20,323942
2016-04-21,334919
2016-04-22,347680
2016-04-23,351910
2016-04-24,303089
2016-04-25,278132
2016-04-26,306709
2016-04-27,309231
2016-04-28,333721
2016-04-29,368295
2016-04-30,358330
2016-05-01,329980
2016-05-02,307851
2016-05-03,354696
2016-05-04,358625
2016-05-05,383690
2016-05-06,440063
2016-05-07,383547
2016-05-08,341480
2016-05-09,301323
2016-05-10,319889
2016-05-11,330445
2016-05-12,356390
2016-05-13,393954
2016-05-14,390555
2016-05-15,349078
2016-05-16,316977
2016-05-17,338584
2016-05-18,345971
2016-05-19,358820
2016-05-20,377649
2016-05-21,395276
2016-05-22,322728
2016-05-23,305314
2016-05-24,331130
2016-05-25,340535
2016-05-26,354363
2016-05-27,362362
2016-05-28,350970
2016-05-29,312565
2016-05-30,271561
2016-05-31,313161
2016-06-01,333192
2016-06-02,361696
2016-06-03,390630
2016-06-04,394038
2016-06-05,339076
2016-06-06,327950
2016-06-07,351002
2016-06-08,392622
2016-06-09,378358
2016-06-10,391983
2016-06-11,394748
2016-06-12,334949
2016-06-13,307353
2016-06-14,333298
2016-06-15,354605
2016-06-16,380656
2016-06-17,388112
2016-06-18,384118
2016-06-19,334692
2016-06-20,316344
2016-06-21,339992
2016-06-22,356633
2016-06-23,376272
2016-06-24,393572
2016-06-25,400421
2016-06-26,346570
2016-06-27,339181
